kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 488 : 32 11456 1056 0 0 13 1 0 0 
_1.ptx 489 : 32 224 0 0 0 0 0 0 0 
_1.ptx 490 : 32 320 0 0 0 0 0 0 0 
_1.ptx 491 : 32 352 0 0 0 0 0 0 0 
_1.ptx 492 : 32 10432 1280 0 0 15 1 0 0 
_1.ptx 493 : 32 256 0 0 0 0 0 0 0 
_1.ptx 494 : 32 256 0 0 0 0 0 0 0 
_1.ptx 495 : 32 256 0 0 0 0 0 0 0 
_1.ptx 497 : 32 224 0 0 0 0 0 0 0 
_1.ptx 498 : 32 320 0 0 0 0 0 0 0 
_1.ptx 499 : 32 352 0 0 0 0 0 0 0 
_1.ptx 500 : 32 10016 896 0 0 14 1 0 0 
_1.ptx 501 : 32 8192 32 0 0 1 1 0 0 
_1.ptx 502 : 32 256 0 0 0 0 0 0 0 
_1.ptx 503 : 32 224 0 0 0 0 0 0 0 
_1.ptx 504 : 32 224 0 0 0 0 0 0 0 
_1.ptx 505 : 32 320 0 0 0 0 0 0 0 
_1.ptx 506 : 32 352 0 0 0 0 0 0 0 
_1.ptx 507 : 32 10432 1248 0 0 13 1 0 0 
_1.ptx 508 : 32 224 0 0 0 0 0 0 0 
_1.ptx 509 : 32 224 0 0 0 0 0 0 0 
_1.ptx 510 : 32 320 0 0 0 0 0 0 0 
_1.ptx 511 : 32 352 0 0 0 0 0 0 0 
_1.ptx 512 : 32 10880 960 0 0 14 1 0 0 
_1.ptx 513 : 32 224 0 0 0 0 0 0 0 
_1.ptx 514 : 32 320 0 0 0 0 0 0 0 
_1.ptx 515 : 32 352 0 0 0 0 0 0 0 
_1.ptx 516 : 32 11072 1152 0 0 14 1 0 0 
_1.ptx 517 : 32 256 0 0 0 0 0 0 0 
_1.ptx 518 : 32 256 0 0 0 0 0 0 0 
_1.ptx 519 : 32 256 0 0 0 0 0 0 0 
_1.ptx 521 : 32 224 0 0 0 0 0 0 0 
_1.ptx 522 : 32 320 0 0 0 0 0 0 0 
_1.ptx 523 : 32 352 0 0 0 0 0 0 0 
_1.ptx 524 : 32 10048 896 0 0 12 1 0 0 
_1.ptx 525 : 32 256 0 0 0 0 0 0 0 
_1.ptx 526 : 32 224 0 0 0 0 0 0 0 
_1.ptx 527 : 32 224 0 0 0 0 0 0 0 
_1.ptx 528 : 32 320 0 0 0 0 0 0 0 
_1.ptx 529 : 32 352 0 0 0 0 0 0 0 
_1.ptx 530 : 32 11104 1152 0 0 15 1 0 0 
_1.ptx 531 : 32 224 0 0 0 0 0 0 0 
_1.ptx 532 : 32 224 0 0 0 0 0 0 0 
_1.ptx 533 : 32 320 0 0 0 0 0 0 0 
_1.ptx 534 : 32 352 0 0 0 0 0 0 0 
_1.ptx 535 : 32 12192 1248 0 0 16 1 0 0 
_1.ptx 536 : 32 224 0 0 0 0 0 0 0 
_1.ptx 537 : 32 320 0 0 0 0 0 0 0 
_1.ptx 538 : 32 352 0 0 0 0 0 0 0 
_1.ptx 539 : 32 12000 768 0 0 13 1 0 0 
_1.ptx 540 : 32 256 0 0 0 0 0 0 0 
_1.ptx 541 : 32 256 0 0 0 0 0 0 0 
_1.ptx 542 : 32 256 0 0 0 0 0 0 0 
_1.ptx 544 : 32 224 0 0 0 0 0 0 0 
